Seller Platform,Seller SKU,Manfacture,Manufacture Code,Product Title,Description,Packaging,Qty,Categories,Product Page URL,Attachment URL,Image URL
Dental City,83-SL1002,Beyes ,SL1002,Maxso EP12-NS Hygiene HP For DPA 4:1 SL1002,,,,Handpieces/Low Speed,https://www.dentalcity.com/product/20063/beyes-maxso-hygiene-handpiece-ep12-ns,,https://www.dentalcity.com/CatalogImages/DENLN/18-20063-Product_Primary_Image-400X400.jpg
Dental City,83-720005,Dentsply Sirona ,720005,Midwest Straight Attachment 720005,For use with Shorty and Rhino low speed motors. Chuck is activated with a simple twist and incorporates a superior lock mechanism that securely grips and fully releases shanks. 6-month warranty.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/2957/dentsply-sirona-midwest-straight-attachment,,https://www.dentalcity.com/CatalogImages/DENLN/18-2957-Product_Primary_Image-400X400.jpg
Dental City,83-295737,Young ,295737,Young Infinity Cordless Hygiene Handpiece System w/ Foot Pedal 295737	,"Young™ Infinity Cordless Hygiene Handpiece allows clinicians to have  the freedom of a cordless handpiece while providing the familiar option to still use a foot pedal (without a cord), providing comfort and confidence in the handpiece performance. Infinity works with any doriot style disposable prophy angle and provides exceptional maneuverability thanks to a 360° swivel.,
,Features include:,
,
,Increased maneuverability and comfort thanks to cord-free design and 360° prophy angle rotation,
,Cord-free foot pedal to change speeds quickly and easily,
,Works with any doriot style dipsposable prophy angle,
,Light-weight and balanced designed for ergonomic comfort,
,Rotate between autoclavable nose cones to reduce number of handpieces needed,
,4 x battery life of other leading cordless handpieces,
,
,Item includes: 1 Cordless Handpiece, 1 Cordless Foot Pedal, 1 Handpiece Cradle, 3 Autoclavable Nose Cones, Charging Cords, 25 Disposable Barrier Sleeves,
, ,
, ,
, ", Foot Pedal 295737	,Young Infinity Cordless Hygiene Handpiece System w,Handpieces/Low Speed,https://www.dentalcity.com/product/19435/young-infinity-cordless-hygiene-handpiece-system,,https://www.dentalcity.com/CatalogImages/DENLN/18-19435-Product_Primary_Image-400X400.jpg
Dental City,83-750001,Denticator ,750001,Prophy Pal Hygiene Handpiece Silver 750001,"Denticator® ProphyPal® Hygiene Handpiece is a reliable and cost effective choice for your practice. It has an extended Sure-fit™ nosecone with a 360° swivel for maximum control and easy intraoral access. This handpiece features lightweight and balanced construction and an ergonomic grip that fits all hand sizes. It's compatible with nearly all disposable prophy angles.
Features include:

360° swivel and extended nosecone for better control and access
Lightweight and balanced construction
Ergonomic grip
Compatible with nearly all disposable prophy angles
Autoclavable
Whisper-quiet
2-year warranty

Three colors to choose from: Classic Silver, Prophy Pink, Wild Thing Green. Use the dropdown menu to make your selection.
 ",,,Handpieces/Low Speed,https://www.dentalcity.com/product/2441/denticator-prophypal,,https://www.dentalcity.com/CatalogImages/DENLN/18-2441-Product_Primary_Image-400X400.jpg
Dental City,83-48000,Johnson Promident ,R20U,U-Style Contra Angle Standard Latch 48000 R20U,,,,Handpieces/Low Speed,https://www.dentalcity.com/product/7279/johnson-promident-u-style-contra-angle-standard-latch-48000,,https://www.dentalcity.com/CatalogImages/DENLN/18-7279-Product_Primary_Image-400X400.jpg
Dental City,83-9060A,Microtech ,M5P-A,M5P Hygienist Handpiece Ultra Light Aluminum M5P-A,High torque motor. Designed for use with disposable and metal autoclavable prophy angles. Nose cone swivels 360 degrees. No lubrication required. Fully autoclavable. 1 year warranty.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/8990/microtech-m5p-hygienist-handpieces,,https://www.dentalcity.com/CatalogImages/DENLN/18-8990-Product_Primary_Image-400X400.jpg
Dental City,94-466,Star Dental ,262539,Dentalube Star Dental 1 oz 262539,"This system offers a variety of speed and torque ranges featuring durability, economy, operator comfort and easy chair-side maintenance. Offers variable speed ranges of 5,000-20,000 rpm with custom attachments and precision angles. 360 degree swivel provides operator comfort and quick disconnection of handpiece from tubing. Completely autoclavable, featuring lube-free motors and angles.",,,Handpieces/Low Speed,https://www.dentalcity.com/product/11404/star-dental-dentalube-dental-1-oz-g,https://dentalcity.com/MSDS/94-466.pdf,https://www.dentalcity.com/CatalogImages/DENLN/18-11404-Product_Primary_Image-400X400.jpg
Dental City,83-2307,Vector ,CA-ST,Marathon Motor To Angle Adapter CA-ST,Fits Star Titan™. Direct replacement for Star #3297.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/12207/vector-marathon-motor-to-angle-adapter,,https://www.dentalcity.com/CatalogImages/DENLN/18-12207-Product_Primary_Image-400X400.jpg
Dental City,83-2204,Vector ,DRA-ST,Latch Head Deluxe For Star DRA-ST,Fits Star Titan™.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/12186/vector-latch-head-deluxe-for-star,,https://www.dentalcity.com/CatalogImages/DENLN/18-12186-Product_Primary_Image-400X400.jpg
Dental City,83-ML500,Vector ,ML-500,Microlite Prophy Handpiece ML-500,"Includes Microlite 5,500 rpm, lube free prophy handpiece.  Made in USA. 1 year warranty",,,Handpieces/Low Speed,https://www.dentalcity.com/product/12215/vector-microlite-prophy-handpiece,,https://www.dentalcity.com/CatalogImages/DENLN/18-12215-Product_Primary_Image-400X400.jpg
Dental City,95-90741L01,Dentsply Sirona ,90741L01,Nupro Freedom Cordless Prophy System 90741L01,"Dentsply Sirona Nupro® Freedom™ Cordless Prophy System with SmartMode Technology is a lightweight, high-performance cordless prophylaxis handpiece designed to reduce wrist fatigue and improve comfort during the polishing procedure while adhering to CDC Infection Prevention Guidelines. For a more pleasant polishing experience, Nupro Freedom Cordless Prophy System offers exceptional ergonomics and a lightweight design.
Features include:• SmartMode Technology allows you to control the prophy angle's speed using pressure of the cup against the tooth.• Lightweight, cordless design• 25% more speed and power• Quieter than air driven hygiene or low speed handpieces• No need for foot pedal (optional)• All day battery life with rapid 15 minute recharge• CDC sterilization guidelines compliant
The Nupro Freedom™ Cordless Prophy System includes:• Inner Module• Charging Base• Handpiece Cradle• Power Supply• Outer Sheath (1)• 20 Nupro Freedom® Disposable Prophy Angles
 ",,,Handpieces/Low Speed,https://www.dentalcity.com/product/15827/dentsply-sirona-nupro-freedom-cordless-prophy-system,,https://www.dentalcity.com/CatalogImages/DENLN/18-15827-Product_Primary_Image-400X400.jpg
Dental City,83-2306,Vector ,SN-ST,Marathon Strt Nose Cone SN-ST,"Vector R & D Marathon Straight Nose Cone to fit STAR™ Titan ""T-Style"" motors. This is a direct replacement for STAR item #57506.
This nose cone comes with a 6-month limited warranty.",,,Handpieces/Low Speed,https://www.dentalcity.com/product/12212/vector-marathon-star-type-straight-nose-cone,,https://www.dentalcity.com/CatalogImages/DENLN/18-12212-Product_Primary_Image-400X400.jpg
Dental City,83-2205,Vector ,ERA-ST,Economy Latch Head ERA-ST,Fits Star Titan™.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/12146/vector-economy-latch-head,,https://www.dentalcity.com/CatalogImages/DENLN/18-12146-Product_Primary_Image-400X400.jpg
Dental City,83-2301,Vector ,CA-MW,Marathon Contra Angle Sheath CA-MW,Fits Midwest™ Shorty™ and Rhino™ Motors. Direct replacement for Midwest™ #710074.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/12202/vector-marathon-contra-angle-sheath,,https://www.dentalcity.com/CatalogImages/DENLN/18-12202-Product_Primary_Image-400X400.jpg
Dental City,95-0500,Premier ,5500500,AeroPro Cordless Prophy System Basic Kit,"AeroPro™ Cordless Prophy System by Premier® Dental is a light-weight, ergonomic, cordless and pedal-less prophy handpiece that provides clinicians with easy and comfortable mobility all day long. Extensive input from dental professionals helped shape AeroPro's unique design that allows the user to rotate the prophy angle 360° for improved intraoral access and less hand, wrist and forearm fatigue. Its quiet yet powerful motor ensures it provides an effective polish without the user needing to apply extra pressure.
Featured and benefits:

Cordless and pedal-less for easier mobility and less hip, leg and foot fatigue
Ergonomic, lightweight and well-balanced for reduced hand and wrist fatigue
ChargeSMART™ Battery is longer lasting than most and designed to keep AeroPro working all day long
Quick-touch buttons to easily switch between low and high speeds
Compatible with nearly any prophy angles - use your favorite!
360° rotatable prophy angle for better access and increased comfort
CDC Compliant - comes with a tested and convenient infection prevention protocol

Basic Kit (item # 95-0500): 1 Motor Component, 1 Autoclavable Outer Sheaths, 1 Charging Station, 1 AC Adapter, 500 Disposable Barriers, 48 2pro® Disposable Prophy Angles (short/soft)",soft),"Basic Kit (item # 95-0500): 1 Motor Component, 1 Autoclavable Outer Sheaths, 1 Charging Station, 1 AC Adapter, 500 Disposable Barriers, 48 2pro® Disposable Prophy Angles (short",Handpieces/Low Speed,https://www.dentalcity.com/product/19861/premier-aeropro-cordless-prophy-system-basic-kit,,https://www.dentalcity.com/CatalogImages/DENLN/18-19861-Product_Primary_Image-400X400.jpg
Dental City,83-2413,Vector ,ERA-U,Marathon Economy Latch Head ERA-U,Fits NSK Angles.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/12205/vector-marathon-economy-latch-head,,https://www.dentalcity.com/CatalogImages/DENLN/18-12205-Product_Primary_Image-400X400.jpg
Dental City,83-245902800,J. Morita ,24-5902800,Tri Auto ZX2 Handpiece 24-5902800,,,,Handpieces/Low Speed,https://www.dentalcity.com/product/18232/j-morita-tri-auto-zx2,,https://www.dentalcity.com/CatalogImages/DENLN/18-18232-Product_Primary_Image-400X400.jpg
Dental City,83-2000,Vector ,TT-20K,Turbo-Torque 20K Motor Set TT-20K,Low speed deluxe motor set. Add additional parts and options from the Attachments list to complete the full functional range of this versatile motor system. Connects to standard 4 hole tubing. Motor will accept any standard ISO E-Type contra angle. Contra angle will accept any NSK fitment contra angle head.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/12248/vector-turbo-torque-motor-set,,https://www.dentalcity.com/CatalogImages/DENLN/18-12248-Product_Primary_Image-400X400.jpg
Dental City,83-760034D,Dentsply Sirona ,760034D,Rhino XP Single-Speed Air Motor 4-Hole 760034D,"4-hole connection. 0-8,000 rpm. 1-year warranty.",,,Handpieces/Low Speed,https://www.dentalcity.com/product/3117/dentsply-sirona-rhino-xp-single-speed-air-motor,,https://www.dentalcity.com/CatalogImages/DENLN/18-3117-Product_Primary_Image-400X400.jpg
Dental City,95-0510,Premier ,5500510,AeroPro Cordless Prophy System Complete Package,"AeroPro™ Cordless Prophy System by Premier® Dental is a light-weight, ergonomic, cordless and pedal-less prophy handpiece that provides clinicians with easy and comfortable mobility all day long. Extensive input from dental professionals helped shape AeroPro's unique design that allows the user to rotate the prophy angle 360° for improved intraoral access and less hand, wrist and forearm fatigue. Its quiet yet powerful motor ensures it provides an effective polish without the user needing to apply extra pressure.
Featured and benefits:

Cordless and pedal-less for easier mobility and less hip, leg and foot fatigue
Ergonomic, lightweight and well-balanced for reduced hand and wrist fatigue
ChargeSMART™ Battery is longer lasting than most and designed to keep AeroPro working all day long
Quick-touch buttons to easily switch between low and high speeds
Compatible with nearly any prophy angles - use your favorite!
360° rotatable prophy angle for better access and increased comfort
CDC Compliant - comes with a tested and convenient infection prevention protocol

Complete Package (Item # 95-0510): 1 Motor Component, 3 Autoclavable Outer Sheath, 1 Charging Station, 1 AC Adapter, 500 Disposable Barriers, 288 2pro® Disposable Prophy Angles (short/soft)
 
 
 ","soft)
 
 
 ","Complete Package (Item # 95-0510): 1 Motor Component, 3 Autoclavable Outer Sheath, 1 Charging Station, 1 AC Adapter, 500 Disposable Barriers, 288 2pro® Disposable Prophy Angles (short",Handpieces/Low Speed,https://www.dentalcity.com/product/19131/premier-aeropro-cordless-prophy-system-complete-package,,https://www.dentalcity.com/CatalogImages/DENLN/18-19131-Product_Primary_Image-400X400.jpg
Dental City,83-710074,Dentsply Sirona ,710074,Midwest Contra Angle Sheath 710074,90-day warranty.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/2574/dentsply-sirona-contra-angle-sheath,,https://www.dentalcity.com/CatalogImages/DENLN/18-2574-Product_Primary_Image-400X400.jpg
Dental City,83-10116751,Kavo ,1011.6751,SMARTmatic Attachment Handpiece S20K 1:1 1011.6751,"KaVo SMARTmatic™ Low Speed Straight and Contra-Angle Handpieces combine excellent conditions with amazing performance, reliability, versatility and efficiency for optimal ease-of-use and successful clinical outcomes.
Features include:

Made in Germany
Will not rust (stainless steel)
Sterilizable up to 275°F
One-piece handpiece sleeve with no gaps or edges
Ball bearings for smooth operation
Ceramic slider clamping system

8 options available. Use the dropdown menu to make your selection.
SMARTmatic S10 K Straight Low Speed Handpiece (item # 83-10116731)

1:1 transmission
Primary indication: restorative
20,000 rpm maximum operating speed

SMARTmatic S20 K Contra-Angle Low Speed Handpiece (item # 83-10116751)

1:1 transmission
Primary indication: restorative
20,000 rpm maximum operating speed

SMARTmatic S19 Straight Low Speed Handpiece (item # 83-10116740)

8:1 transmission
Primary indication: prophy
20,000 rpm maximum operating speed
Compatible with multiple motors

SMARTmatic S19 K Straight Low Speed Handpiece (item # 83-10116741)

8:1 transmission
Primary indication: prophy
20,000 rpm maximum operating speed

SMARTmatic S20 Contra-Angle Low Speed Handpiece (item # 83-10116750)

1:1 transmission
Primary indication: restorative
40,000 rpm maximum operating speed
Compatible with multiple motors

SMARTmatic S31 Contra-Angle Low Speed Handpiece (item # 83-10116760)

8:1 transmission
Primary indication: prophy
20,000 rpm maximum operating speed
Compatible with multiple motors

SMARTmatic S31 K Contra-Angle Low Speed Handpiece (item # 83-10116761)

8:1 transmission
Primary indication: prophy
20,000 rpm maximum operating speed

SMARTmatic S80 K Contra-Angle Low Speed Handpiece (item # 83-10116771)

1:1 transmission
Primary indication: restorative
40,000 rpm maximum operating speed
",,,Handpieces/Low Speed,https://www.dentalcity.com/product/19308/kavo-smartmatic-low-speed-handpieces,,https://www.dentalcity.com/CatalogImages/DENLN/18-19308-Product_Primary_Image-400X400.jpg
Dental City,83-710027D,Dentsply Sirona ,710027D,Shorty Single-Speed Air Motor 4-Hole 710027D,Shorty® Two-Speed Air Motor- 4-Hole Connection,,,Handpieces/Low Speed,https://www.dentalcity.com/product/3130/dentsply-sirona-shorty-single-speed-air-motor,,https://www.dentalcity.com/CatalogImages/DENLN/18-3130-Product_Primary_Image-400X400.jpg
Dental City,83-PMCL100,Pacdent ,PMCL-100,ProMate Hygiene Handpiece Cordless Unit Complete PMCL-100,"The ProMate™ CL Cordless Hygiene Handpiece has been designed to provide the clinician with an ergonomic handpiece that delivers independence from heavy cord-drag, dual-mode speed control, and operator comfort during prophylaxis procedures. Pac-Dent's cordless prophy handpiece provides the flexibility of using any preferred disposable prophy angles (DPA) on the market. 
The sterilizable outer sheath has been designed to be steam autoclavable in compliance with the CDC’s sterilization and infection control guidelines. A disposable polyethylene barrier is available to cover the handpiece


Made with the Clinician in Mind – Cordless design eliminates drag and pulling and increases mobility


Ultralight Construction 3.8 oz. – 20% lighter than industry-leading low-speed handpieces


Extraordinary Performance – Dual-mode speed control with 6-speed settings


Dual-Mode Control – Ergonomic, quick-touch button and Bluetooth-powered foot pedal


Universal Compatibility – Use all your favorite disposable prophy angles


Amazing Battery Life – Lasts through a whole day’s worth of procedures

",,,Handpieces/Low Speed,https://www.dentalcity.com/product/21060/pacdent-promate-hygiene-handpiece-cordless-complete-unit,,https://www.dentalcity.com/CatalogImages/DENLN/18-21060-Product_Primary_Image-400X400.jpg
Dental City,83-720445,Dentsply Sirona ,720445,Prophy Right Angle Head Screw-In 3/Box 720445,"Triple seal, screw-in type. 6-month warranty. Recommended for use in lower-speed range only.",Box 720445,3,Handpieces/Low Speed,https://www.dentalcity.com/product/3079/dentsply-sirona-prophy-right-angle-head-screw-in-3box,,https://www.dentalcity.com/CatalogImages/DENLN/18-3079-Product_Primary_Image-400X400.jpg
Dental City,83-720446,Dentsply Sirona ,720446,Midwest Prophy Contra Angle Head Screw In 720446,"Triple seal, screw-in type. 6-month warranty. Recommended for use in lower-speed range only.",,,Handpieces/Low Speed,https://www.dentalcity.com/product/3077/dentsply-sirona-prophy-contra-angle-head,,https://www.dentalcity.com/CatalogImages/DENLN/18-3077-Product_Primary_Image-400X400.jpg
Dental City,95-90741L05,Dentsply Sirona ,90741L05,Nupro Freedom Cordless Prophy Package with SmartMode Technology and Foot Pedal 9,"NUPRO Freedom® Cordless Prophy Package with SmartMode® Technology and Foot Pedal from Dentsply provides enhanced control, comfort, freedom and choice.  SmartMode® Technology provides the latest advance in polishing speed control, without the need for buttons or foot pedals, while the foot pedal included in the package allows clinicians a choice in how they control the polishing speed, allowing for a more traditional experience.  The NUPRO Freedom System is quieter than traditional air driven hygiene or low speed handpieces, and is intended to reduce patient stress.

Cordless design
Electric motor reduces noise and vibration
Battery operated via long lasting lithium battery

 
Package contains: 1 Inner Module, 3 Outer Sheaths, 1 Handpiece Cradle, 1 Charging Base, 1 Power Supply, 1 Operator Manual, 200 NUPRO Freedom® Disposable Prophy Angles and 500 Disposa-Shield® Polyethelene Disposable Barriers. 
The Outer Sheath contains a fluid seal and is designed to comply with CDC guidelines for Infection Prevention.


Outer sheaths & handpiece cradle are autoclavable
Power Type:  Air


 ",,,Handpieces/Low Speed,https://www.dentalcity.com/product/17407/dentsply-sirona-nupro-freedom-cordless-prophy-package-with-foot-pedal,,https://www.dentalcity.com/CatalogImages/DENLN/18-17407-Product_Primary_Image-400X400.jpg
Dental City,83-HH100,Pacdent ,HH-100,ProMate Hygiene Handpiece Unit Complete HH-100,"Reduce fatigue and daily trauma on the hand, and arm muscles with our new ProMatehygiene handpiece. The lightweight ergonomic design minimizes vibration and chatter. The textured silicone grip and contoured shape provide superior comfort and non-slip control.
Easily maintained by autoclaving the entire handpiece with the grip, or replace the grip for color coding and personalization. Use with your favorite Pac-Dent disposable prophy angle and see the difference! Grip colors are available in blue, green, lavender, and rose.

Ergonomic lightweight design for superior comfort
Swivel back-end connection for less drag and arm fatigue
Soft non-slip grips increase tactile sensitivity and reduce daily hand trauma
Works with all standard disposable prophy angles
Fully autoclavable
",,,Handpieces/Low Speed,https://www.dentalcity.com/product/19649/pacdent-promate-hygiene-handpiece,,https://www.dentalcity.com/CatalogImages/DENLN/18-19649-Product_Primary_Image-400X400.jpg
Dental City,83-760035E,Dentsply Sirona ,760035E,Rhino XE 20K E-Type Low Speed Air Motor 760035E,,,,Handpieces/Low Speed,https://www.dentalcity.com/product/19802/dentsply-sirona-rhino-xe-20k-e-type-low-speed-air-motor,,https://www.dentalcity.com/CatalogImages/DENLN/18-19802-Product_Primary_Image-400X400.jpg
Dental City,83-720485,Dentsply Sirona ,720485,Push Button Low Speed Angles Latch Type 720485,Offers smooth performance plus quick and convenient changing of burs and instruments. Compatible with either Rhino or Shorty Air Motors. Easy  maintenance. 90-day warranty.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/3083/dentsply-sirona-push-button-low-speed-angles,,https://www.dentalcity.com/CatalogImages/DENLN/18-3083-Product_Primary_Image-400X400.jpg
Dental City,83-720006,Dentsply Sirona ,720006,Rhino XE Straight 1:1 with HP Chuck 720006,,,,Handpieces/Low Speed,https://www.dentalcity.com/product/19803/dentsply-sirona-rhino-xe-chucks,,https://www.dentalcity.com/CatalogImages/DENLN/18-19803-Product_Primary_Image-400X400.jpg
Dental City,83-710078,Dentsply Sirona ,710078,Midwest Prophy Right Angle Sheath 710078,6-month warranty.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/3080/dentsply-sirona-prophy-right-angle-sheath,,https://www.dentalcity.com/CatalogImages/DENLN/18-3080-Product_Primary_Image-400X400.jpg
Dental City,83-295249,Young ,295249,Young Hygiene Handpiece Purple 295249,"Designed to fit the contours of the hygienist's hand, the new Young™ Hygiene Handpiece delivers the superior comfort and control clinicians need during polishing.The stylish engraved matte grip nosecone rotates 360 degrees, helping to reduce the need to shift the wrist as often during polishing. Another feature - the contra-angled connector - also aids in lessening wrist fatigue because it helps reduce cord drag aggravation.Unlike straight-bodied handpieces, the Young Hygiene Handpiece is constructed with a Reverse Radius™ silhouette that's curved to fit comfortably in the dental hygienist's hand for smooth, easy handling. The handpiece is designed for optimal performance when used with Young Dental disposable prophy angles, so clinicians can get the most out of their polishing routines.When it comes to care and maintenance, the Young Hygiene Handpiece nosecone and motor easily detach  into two parts for fast and thorough sterilization. The handpiece is backed by a 2-year warranty with guaranteed quality.Contains: 1 Hygiene Handpiece, 1-3cc Bottle of Lubricant, 3 Disposable Prophy Angles",,,Handpieces/Low Speed,https://www.dentalcity.com/product/12616/young-young-hygiene-handpiece,,https://www.dentalcity.com/CatalogImages/DENLN/18-12616-Product_Primary_Image-400X400.jpg
Dental City,83-512100,EDS ,5121-00,Endo CSV Handpiece Kit 5121-00,,,,Handpieces/Low Speed,https://www.dentalcity.com/product/21049/eds-endo-csv-handpiece,,https://www.dentalcity.com/CatalogImages/DENLN/18-21049-Product_Primary_Image-400X400.jpg
Dental City,83-333333,Preventech ,333333,Esamate ST Low Speed Hygiene HP 5000rpm 333333,,,,Handpieces/Low Speed,https://www.dentalcity.com/product/21033/preventech-esamate-hygiene-handpiece-motor,,https://www.dentalcity.com/CatalogImages/DENLN/18-21033-Product_Primary_Image-400X400.jpg
Dental City,83-710024D,Dentsply Sirona ,710024D,Shorty Two-Speed Air Motor 4-Hole 710024D,"4-hole connection. 0-6,000 rpm and 0-30,000 rpm. 1-year warranty.",,,Handpieces/Low Speed,https://www.dentalcity.com/product/3131/dentsply-sirona-shorty-two-speed-air-motor,,https://www.dentalcity.com/CatalogImages/DENLN/18-3131-Product_Primary_Image-400X400.jpg
Dental City,83-DM5H,Pacdent ,PA-DM5H,ProMate Hygiene Handpiece Lube Free PA-DM5H,"The lightweight and compact ProMate LF Hygiene Prophy Handpiece is well-balanced and powerful. Its lube-free motor has a maximum speed of 5000 RPM. Features a 360° swivel head. Two-year warranty.

Lube free motor requiring no maintenance
Compatible with nearly all disposable prophy angles
Extremely quiet, minimizing patient anxiety
360o swivel
Lightweight 2.79oz
Made in Japan
2-Year Warranty
",,,Handpieces/Low Speed,https://www.dentalcity.com/product/21061/pacdent-promate-lube-free-handpiece,,https://www.dentalcity.com/CatalogImages/DENLN/18-21061-Product_Primary_Image-400X400.jpg
Dental City,95-90742,Dentsply Sirona ,90742,Nupro Freedom Optional Wireless Foot Pedal 90742,,,,Handpieces/Low Speed,https://www.dentalcity.com/product/16863/dentsply-sirona-nupro-freedom-cordless-prophy-foot-pedal,,https://www.dentalcity.com/CatalogImages/DENLN/18-16863-Product_Primary_Image-400X400.jpg
Dental City,83-2200,Vector ,DRA-MW,Latch Head Deluxe For Midwest DRA-MW,Fits Midwest™ Shorty™ and Rhino™ Motors.,,,Handpieces/Low Speed,https://www.dentalcity.com/product/12185/vector-latch-head-deluxe-for-midwest,,https://www.dentalcity.com/CatalogImages/DENLN/18-12185-Product_Primary_Image-400X400.jpg
Dental City,83-MT2009,Beyes ,MT2009,Maxso M20A-IS/M4 Air Motor Plus Non-Optic Backend MT2009,,M4 Air Motor Plus Non-Optic Backend MT2009,0,Handpieces/Low Speed,https://www.dentalcity.com/product/19707/beyes-maxso-air-motor-internal-spray,,https://www.dentalcity.com/CatalogImages/DENLN/18-19707-Product_Primary_Image-400X400.jpg
Dental City,83-21014,Johnson Promident ,HK-4,Micromite Hawk Low Speed 4Hole HK-4,"Accepts all standard or doriot style contra angles. Swivel nose cone reduces hand fatigue. 5,500 RPM - the perfect speed for prophyÍs. No adapters needed. 1 year warranty.",,,Handpieces/Low Speed,https://www.dentalcity.com/product/7206/johnson-promident-micromite,,https://www.dentalcity.com/CatalogImages/DENLN/18-7206-Product_Primary_Image-400X400.jpg
