Seller Platform,Seller SKU,Manufacture,Manufacture Code,Product Title,Description,Packaging,Qty,Categories,Subcategories,Product Page URL,Image URL
Young Specialists,Item #30046,Young Specialists,Item #30046,E-Junior Toothbrush (144 ct)," , ,The E-Junior toothbrush from Plak Smacker comes in bright, two-tone colors kids will love! The comfortable , makes the brush easy to hold, while a, on the back of the , head brightens up the teeth-cleaning routine. This brush has , of soft nylon bristles and comes in the following color combinations: purple/blue, green/blue, pink/green and orange/yellow. Sold in boxes of 144 per box.","  The E-Junior toothbrush from Plak Smacker comes in bright, two-tone colors kids will love! The comfortable  makes the brush easy to hold, while a on the back of the  head brightens up the teeth-cleaning routine. This brush has  of soft nylon bristles and comes in the following color combinations: purple/blue, green/blue, pink/green and orange/yellow. Sold in boxes of 144 per box.","  The E-Junior toothbrush from Plak Smacker comes in bright, two-tone colors kids will love! The comfortable  makes the brush easy to hold, while a on the back of the  head brightens up the teeth-cleaning routine. This brush has  of soft nylon bristles and comes in the following color combinations: purple/blue, green/blue, pink/green and orange/yellow. Sold in boxes of 144 per box.",Plak Smacker,Toothbrushes,https://www.youngspecialties.com/product/e-junior-toothbrush-144-ct/,"https://www.youngspecialties.com/wp-content/uploads/2020/10/E-Junio-Toothbrushr-30046-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/10/E-Junio-Toothbrushr-30046-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/10/E-Junio-Toothbrushr-30046-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2020/10/E-Junio-Toothbrushr-30046-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/10/E-Junio-Toothbrushr-30046-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/10/E-Junio-Toothbrushr-30046-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/10/E-Junio-Toothbrushr-30046-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2020/10/E-Junio-Toothbrushr-30046.jpg 1000w"
Young Specialists,Item #Force-SS-22-cs,Young Specialists,Item #Force-SS-22-cs,(Case) .022 Optimal Force Stainless Steel Bracket-Upper/Lower 5X5,"The Optimal Force Bracket System from OrthoQuest is a multi-force bracket that allows you to begin torqueing teeth on day one with very low force and finish a case in half the time as with standard twin or self-ligating brackets. Optimal Force brackets have three* incisal tie wings and a gingival pendulum allowing for better control and management of progression of force through treatment by changing the way the wire is ligated in the slot., ,All brackets have a ball hook on the gingival tip, a beveled slot for increased inter-bracket distance, a centered scribe line for accurate alignment, and torque in base to magnify force and reduce friction. Bracket base is micro-etched to improve bond strength for maximum retention. Brackets are low profile for exceptional patient comfort. Offered with a .022 slot., , We recommend starting with Vision Thermal-Flex™ Multi-Force heat-activated Niti wires with a dimple. The varying forces in the three segments of the wire combined with varying force levels in ligation allow for better control of the entire arch. A 20×20 wire will begin torqueing immediately and can be used as the first wire. CuTanium™ copper NiTi will also work well with the Optimal Force brackets since ligating controls the friction. When torqueing, leveling and aligning are complete, move to a Stainless Steel wire.","The Optimal Force Bracket System from OrthoQuest is a multi-force bracket that allows you to begin torqueing teeth on day one with very low force and finish a case in half the time as with standard twin or self-ligating brackets. Optimal Force brackets have three* incisal tie wings and a gingival pendulum allowing for better control and management of progression of force through treatment by changing the way the wire is ligated in the slot. All brackets have a ball hook on the gingival tip, a beveled slot for increased inter-bracket distance, a centered scribe line for accurate alignment, and torque in base to magnify force and reduce friction. Bracket base is micro-etched to improve bond strength for maximum retention. Brackets are low profile for exceptional patient comfort. Offered with a .022 slot.  We recommend starting with Vision Thermal-Flex™ Multi-Force heat-activated Niti wires with a dimple. The varying forces in the three segments of the wire combined with varying force levels in ligation allow for better control of the entire arch. A 20×20 wire will begin torqueing immediately and can be used as the first wire. CuTanium™ copper NiTi will also work well with the Optimal Force brackets since ligating controls the friction. When torqueing, leveling and aligning are complete, move to a Stainless Steel wire.","The Optimal Force Bracket System from OrthoQuest is a multi-force bracket that allows you to begin torqueing teeth on day one with very low force and finish a case in half the time as with standard twin or self-ligating brackets. Optimal Force brackets have three* incisal tie wings and a gingival pendulum allowing for better control and management of progression of force through treatment by changing the way the wire is ligated in the slot. All brackets have a ball hook on the gingival tip, a beveled slot for increased inter-bracket distance, a centered scribe line for accurate alignment, and torque in base to magnify force and reduce friction. Bracket base is micro-etched to improve bond strength for maximum retention. Brackets are low profile for exceptional patient comfort. Offered with a .022 slot.  We recommend starting with Vision Thermal-Flex™ Multi-Force heat-activated Niti wires with a dimple. The varying forces in the three segments of the wire combined with varying force levels in ligation allow for better control of the entire arch. A 20×20 wire will begin torqueing immediately and can be used as the first wire. CuTanium™ copper NiTi will also work well with the Optimal Force brackets since ligating controls the friction. When torqueing, leveling and aligning are complete, move to a Stainless Steel wire.",Orthodontics,Brackets,https://www.youngspecialties.com/product/optimal-force-stainless-steel-bracket-022-1-ct-2/,"https://www.youngspecialties.com/wp-content/uploads/2020/10/OrthoQuest-Force-Stainless-Steel-Optimal-Force-Bracket-1-600x535.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/10/OrthoQuest-Force-Stainless-Steel-Optimal-Force-Bracket-1-300x267.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/10/OrthoQuest-Force-Stainless-Steel-Optimal-Force-Bracket-1-768x684.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/10/OrthoQuest-Force-Stainless-Steel-Optimal-Force-Bracket-1-32x29.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/10/OrthoQuest-Force-Stainless-Steel-Optimal-Force-Bracket-1-190x169.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/10/OrthoQuest-Force-Stainless-Steel-Optimal-Force-Bracket-1-67x60.jpg 67w, https://www.youngspecialties.com/wp-content/uploads/2020/10/OrthoQuest-Force-Stainless-Steel-Optimal-Force-Bracket-1-101x90.jpg 101w, https://www.youngspecialties.com/wp-content/uploads/2020/10/OrthoQuest-Force-Stainless-Steel-Optimal-Force-Bracket-1.jpg 816w"
Young Specialists,Item #825-312,Young Specialists,Item #825-312,KiSSCAL Scalpel Handle,,,,Endodontics,Endodontic Surgery,https://www.youngspecialties.com/product/kisscal-scapel-handle/,"https://www.youngspecialties.com/wp-content/uploads/2020/09/KiSSCAL-Scapel-825-312-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KiSSCAL-Scapel-825-312-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KiSSCAL-Scapel-825-312-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KiSSCAL-Scapel-825-312-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KiSSCAL-Scapel-825-312-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KiSSCAL-Scapel-825-312-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KiSSCAL-Scapel-825-312-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KiSSCAL-Scapel-825-312-60x60.jpg 60w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KiSSCAL-Scapel-825-312-90x90.jpg 90w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KiSSCAL-Scapel-825-312.jpg 1000w"
Young Specialists,Item #10008,Young Specialists,Item #10008,Adult V-Trim Toothbrush (144 ct),"The Adult V-Trim Toothbrush by Plak Smacker features a co-molded handle and soft bristles that are end-rounded for a comfortable brush. This , comes in red, blue, green and purple; minimum order of 1 box, 144 per box.","The Adult V-Trim Toothbrush by Plak Smacker features a co-molded handle and soft bristles that are end-rounded for a comfortable brush. This  comes in red, blue, green and purple; minimum order of 1 box, 144 per box.","The Adult V-Trim Toothbrush by Plak Smacker features a co-molded handle and soft bristles that are end-rounded for a comfortable brush. This  comes in red, blue, green and purple; minimum order of 1 box, 144 per box.",Plak Smacker,Toothbrushes,https://www.youngspecialties.com/product/adult-v-trim-toothbrush-144-ct/,"https://www.youngspecialties.com/wp-content/uploads/2020/09/Adult-V-Trim-Toothbrush-10008-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Adult-V-Trim-Toothbrush-10008-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Adult-V-Trim-Toothbrush-10008-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Adult-V-Trim-Toothbrush-10008-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Adult-V-Trim-Toothbrush-10008-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Adult-V-Trim-Toothbrush-10008-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Adult-V-Trim-Toothbrush-10008-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Adult-V-Trim-Toothbrush-10008-60x60.jpg 60w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Adult-V-Trim-Toothbrush-10008-90x90.jpg 90w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Adult-V-Trim-Toothbrush-10008.jpg 1000w"
Young Specialists,Item #825-357,Young Specialists,Item #825-357,KISC Scissor Castro Suture,KISC Scissor Castro Suture,KISC Scissor Castro Suture,KISC Scissor Castro Suture,Endodontics,Endodontic Surgery,https://www.youngspecialties.com/product/kisc-scissor-castro-suture/,"https://www.youngspecialties.com/wp-content/uploads/2020/09/KISC-Scissor-Castro-825-357-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISC-Scissor-Castro-825-357-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISC-Scissor-Castro-825-357-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISC-Scissor-Castro-825-357-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISC-Scissor-Castro-825-357-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISC-Scissor-Castro-825-357-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISC-Scissor-Castro-825-357-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISC-Scissor-Castro-825-357-60x60.jpg 60w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISC-Scissor-Castro-825-357-90x90.jpg 90w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISC-Scissor-Castro-825-357.jpg 1000w"
Young Specialists,Item #825-358,Young Specialists,Item #825-358,KISCR Scissor Castro Curved,,,,Endodontics,Endodontic Surgery,https://www.youngspecialties.com/product/kiscr-scissor-castro-curved/,"https://www.youngspecialties.com/wp-content/uploads/2020/09/KISCR-Scissor-Castro-825-358-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISCR-Scissor-Castro-825-358-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISCR-Scissor-Castro-825-358-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISCR-Scissor-Castro-825-358-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISCR-Scissor-Castro-825-358-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISCR-Scissor-Castro-825-358-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISCR-Scissor-Castro-825-358-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISCR-Scissor-Castro-825-358-60x60.jpg 60w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISCR-Scissor-Castro-825-358-90x90.jpg 90w, https://www.youngspecialties.com/wp-content/uploads/2020/09/KISCR-Scissor-Castro-825-358.jpg 1000w"
Young Specialists,Item #30010,Young Specialists,Item #30010,Junior Youth Kids Toothbrush (144 ct)," ,With nylon bristles that are soft, end-rounded and polished, Plak Smacker’s children’s toothbrushes offer a comfortable brush, while the assortment of colors give kids plenty of choices. These brushes are also available for personalization (,). Brushes feature 28 tufts are offered in an assorted box that includes purple, red, yellow, green, orange and blue."," With nylon bristles that are soft, end-rounded and polished, Plak Smacker’s children’s toothbrushes offer a comfortable brush, while the assortment of colors give kids plenty of choices. These brushes are also available for personalization (). Brushes feature 28 tufts are offered in an assorted box that includes purple, red, yellow, green, orange and blue."," With nylon bristles that are soft, end-rounded and polished, Plak Smacker’s children’s toothbrushes offer a comfortable brush, while the assortment of colors give kids plenty of choices. These brushes are also available for personalization (). Brushes feature 28 tufts are offered in an assorted box that includes purple, red, yellow, green, orange and blue.",Plak Smacker,Toothbrushes,https://www.youngspecialties.com/product/junior-youth-toothbrush-144-ct/,"https://www.youngspecialties.com/wp-content/uploads/2020/09/Junior-Youth-Toothbrush-30010-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Junior-Youth-Toothbrush-30010-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Junior-Youth-Toothbrush-30010-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Junior-Youth-Toothbrush-30010-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Junior-Youth-Toothbrush-30010-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Junior-Youth-Toothbrush-30010-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Junior-Youth-Toothbrush-30010-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Junior-Youth-Toothbrush-30010-60x60.jpg 60w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Junior-Youth-Toothbrush-30010-90x90.jpg 90w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Junior-Youth-Toothbrush-30010.jpg 1000w"
Young Specialists,Item #20021,Young Specialists,Item #20021,E-Curve Adult Toothbrush (144 ct)," , ,This curvy adult/teen toothbrush by Plak Smacker features a Power Tip with 45 tufts of soft, highly polished end-rounded bristles.  Brushes come in an assorted color pack that includes pink, blue, green and orange. Offered in box of 144 brushes.","  This curvy adult/teen toothbrush by Plak Smacker features a Power Tip with 45 tufts of soft, highly polished end-rounded bristles.  Brushes come in an assorted color pack that includes pink, blue, green and orange. Offered in box of 144 brushes.","  This curvy adult/teen toothbrush by Plak Smacker features a Power Tip with 45 tufts of soft, highly polished end-rounded bristles.  Brushes come in an assorted color pack that includes pink, blue, green and orange. Offered in box of 144 brushes.",Plak Smacker,Toothbrushes,https://www.youngspecialties.com/product/e-curve-toothbrush-144-ct/,"https://www.youngspecialties.com/wp-content/uploads/2020/09/E-Curve-Toothbrush-20021-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/09/E-Curve-Toothbrush-20021-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/09/E-Curve-Toothbrush-20021-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2020/09/E-Curve-Toothbrush-20021-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/09/E-Curve-Toothbrush-20021-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/09/E-Curve-Toothbrush-20021-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/09/E-Curve-Toothbrush-20021-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2020/09/E-Curve-Toothbrush-20021-60x60.jpg 60w, https://www.youngspecialties.com/wp-content/uploads/2020/09/E-Curve-Toothbrush-20021-90x90.jpg 90w, https://www.youngspecialties.com/wp-content/uploads/2020/09/E-Curve-Toothbrush-20021.jpg 1000w"
Young Specialists,Item #CARBIDE-BUR,Young Specialists,Item #CARBIDE-BUR,DEFEND® Round Carbide Burs-1/4,"For caries excavation, cavity preparation, and root canal access. Smaller sizes often used for single surface cavities, medium sizes often used for interproximal cavities in anterior teeth.  HP Style are available in packs of 5. All others are available in packs of 10.","For caries excavation, cavity preparation, and root canal access. Smaller sizes often used for single surface cavities, medium sizes often used for interproximal cavities in anterior teeth.  HP Style are available in packs of 5. All others are available in packs of 10.","For caries excavation, cavity preparation, and root canal access. Smaller sizes often used for single surface cavities, medium sizes often used for interproximal cavities in anterior teeth.  HP Style are available in packs of 5. All others are available in packs of 10.",Plak Smacker,Restorative,https://www.youngspecialties.com/product/defend-round-carbide-burs/,"https://www.youngspecialties.com/wp-content/uploads/2021/10/Defend-Round-Carbide-Burs-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2021/10/Defend-Round-Carbide-Burs-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2021/10/Defend-Round-Carbide-Burs-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2021/10/Defend-Round-Carbide-Burs-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2021/10/Defend-Round-Carbide-Burs-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2021/10/Defend-Round-Carbide-Burs-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2021/10/Defend-Round-Carbide-Burs-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2021/10/Defend-Round-Carbide-Burs.jpg 1000w"
Young Specialists,Item # 10008IMP,Young Specialists,Item # 10008IMP,,,,,,,https://www.youngspecialties.com/personalize/?pid=13487,
Young Specialists,Item # 00122IMP,Young Specialists,Item # 00122IMP,,,,,,,https://www.youngspecialties.com/personalize/?pid=13485,
Young Specialists,Item #P580USC,Young Specialists,Item #P580USC,"Curodont Repair Fluoride Plus, 10ct"," , ,Professional in-office treatment of buccal, occlusal, and proximal early caries lesions. Suitable for patients 4 years and older. This innovative, easy-to-use treatment is non-invasive and uses a proprietary CUROLOX® formula to help teeth naturally re-mineralize. Unlike fluoride, which promotes remineralization and acid resistance on the tooth’s surface, Curodont Repair Fluoride Plus helps fluoride, calcium, and other minerals found within the patient’s saliva penetrate into the enamel. Re-mineralization and re-hardening occurs during the first few weeks after treatment., , , ","  Professional in-office treatment of buccal, occlusal, and proximal early caries lesions. Suitable for patients 4 years and older. This innovative, easy-to-use treatment is non-invasive and uses a proprietary CUROLOX® formula to help teeth naturally re-mineralize. Unlike fluoride, which promotes remineralization and acid resistance on the tooth’s surface, Curodont Repair Fluoride Plus helps fluoride, calcium, and other minerals found within the patient’s saliva penetrate into the enamel. Re-mineralization and re-hardening occurs during the first few weeks after treatment.   ","  Professional in-office treatment of buccal, occlusal, and proximal early caries lesions. Suitable for patients 4 years and older. This innovative, easy-to-use treatment is non-invasive and uses a proprietary CUROLOX® formula to help teeth naturally re-mineralize. Unlike fluoride, which promotes remineralization and acid resistance on the tooth’s surface, Curodont Repair Fluoride Plus helps fluoride, calcium, and other minerals found within the patient’s saliva penetrate into the enamel. Re-mineralization and re-hardening occurs during the first few weeks after treatment.   ",Plak Smacker,Preventive,https://www.youngspecialties.com/product/curodont-repair-fluoride-plus/,"https://www.youngspecialties.com/wp-content/uploads/2021/08/P580USC-Curodont-Repair-Fluoride-Plus-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2021/08/P580USC-Curodont-Repair-Fluoride-Plus-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2021/08/P580USC-Curodont-Repair-Fluoride-Plus-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2021/08/P580USC-Curodont-Repair-Fluoride-Plus-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2021/08/P580USC-Curodont-Repair-Fluoride-Plus-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2021/08/P580USC-Curodont-Repair-Fluoride-Plus-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2021/08/P580USC-Curodont-Repair-Fluoride-Plus-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2021/08/P580USC-Curodont-Repair-Fluoride-Plus.jpg 1000w"
Young Specialists,Item #823-616,Young Specialists,Item #823-616,Obtura Needle Lock Nuts (2 pk),"Our Obtura II Replacement Parts include a full list of parts to help you with your replacement needs. Parts include the following:,822-609 Cleaning Kit,822-612 Needle Bending Tool,823-610 Thermal Protectors 10 pk.,823-616 Needle Lock Nuts, 2 pk.,823-618 Obtura Plunger Seal Assembly,823-619 Obtura II Plunger Shaft Assembly,823-630 Obtura II Handpiece Bushing,822-613 Cleaning Brushes, 2 pk.,822-625 Practice Block with Plugger,823-616 Obtura Needle Lock Nuts, 2 pk.,825-105 Heater Cleaning Toolkit","Our Obtura II Replacement Parts include a full list of parts to help you with your replacement needs. Parts include the following:822-609 Cleaning Kit822-612 Needle Bending Tool823-610 Thermal Protectors 10 pk.823-616 Needle Lock Nuts, 2 pk.823-618 Obtura Plunger Seal Assembly823-619 Obtura II Plunger Shaft Assembly823-630 Obtura II Handpiece Bushing822-613 Cleaning Brushes, 2 pk.822-625 Practice Block with Plugger823-616 Obtura Needle Lock Nuts, 2 pk.825-105 Heater Cleaning Toolkit","Our Obtura II Replacement Parts include a full list of parts to help you with your replacement needs. Parts include the following:822-609 Cleaning Kit822-612 Needle Bending Tool823-610 Thermal Protectors 10 pk.823-616 Needle Lock Nuts, 2 pk.823-618 Obtura Plunger Seal Assembly823-619 Obtura II Plunger Shaft Assembly823-630 Obtura II Handpiece Bushing822-613 Cleaning Brushes, 2 pk.822-625 Practice Block with Plugger823-616 Obtura Needle Lock Nuts, 2 pk.825-105 Heater Cleaning Toolkit",Endodontics,Obtura Backfill Devices & Accessories,https://www.youngspecialties.com/product/obtura-needle-lock-nuts-2-pk/,"https://www.youngspecialties.com/wp-content/uploads/2020/09/Obutra-Needle-Needle-Lock-Nuts-823-616-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obutra-Needle-Needle-Lock-Nuts-823-616-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obutra-Needle-Needle-Lock-Nuts-823-616-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obutra-Needle-Needle-Lock-Nuts-823-616-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obutra-Needle-Needle-Lock-Nuts-823-616-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obutra-Needle-Needle-Lock-Nuts-823-616-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obutra-Needle-Needle-Lock-Nuts-823-616-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obutra-Needle-Needle-Lock-Nuts-823-616-60x60.jpg 60w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obutra-Needle-Needle-Lock-Nuts-823-616-90x90.jpg 90w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obutra-Needle-Needle-Lock-Nuts-823-616.jpg 1000w"
Young Specialists,Item #823-618,Young Specialists,Item #823-618,Obtura Plunger Seal Assembly,"Our Obtura II Replacement Parts include a full list of parts to help you with your replacement needs. Parts include the following:,822-609 Cleaning Kit,822-612 Needle Bending Tool,823-610 Thermal Protectors 10 pk.,823-616 Needle Lock Nuts, 2 pk.,823-618 Obtura Plunger Seal Assembly,823-619 Obtura II Plunger Shaft Assembly,823-630 Obtura II Handpiece Bushing,822-613 Cleaning Brushes, 2 pk.,822-625 Practice Block with Plugger,823-616 Obtura Needle Lock Nuts, 2 pk.,825-105 Heater Cleaning Toolkit","Our Obtura II Replacement Parts include a full list of parts to help you with your replacement needs. Parts include the following:822-609 Cleaning Kit822-612 Needle Bending Tool823-610 Thermal Protectors 10 pk.823-616 Needle Lock Nuts, 2 pk.823-618 Obtura Plunger Seal Assembly823-619 Obtura II Plunger Shaft Assembly823-630 Obtura II Handpiece Bushing822-613 Cleaning Brushes, 2 pk.822-625 Practice Block with Plugger823-616 Obtura Needle Lock Nuts, 2 pk.825-105 Heater Cleaning Toolkit","Our Obtura II Replacement Parts include a full list of parts to help you with your replacement needs. Parts include the following:822-609 Cleaning Kit822-612 Needle Bending Tool823-610 Thermal Protectors 10 pk.823-616 Needle Lock Nuts, 2 pk.823-618 Obtura Plunger Seal Assembly823-619 Obtura II Plunger Shaft Assembly823-630 Obtura II Handpiece Bushing822-613 Cleaning Brushes, 2 pk.822-625 Practice Block with Plugger823-616 Obtura Needle Lock Nuts, 2 pk.825-105 Heater Cleaning Toolkit",Endodontics,Obtura Backfill Devices & Accessories,https://www.youngspecialties.com/product/obtura-plunger-seal-assembly/,"https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Plunger-Seal-Assembly-823-618-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Plunger-Seal-Assembly-823-618-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Plunger-Seal-Assembly-823-618-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Plunger-Seal-Assembly-823-618-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Plunger-Seal-Assembly-823-618-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Plunger-Seal-Assembly-823-618-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Plunger-Seal-Assembly-823-618-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Plunger-Seal-Assembly-823-618-60x60.jpg 60w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Plunger-Seal-Assembly-823-618-90x90.jpg 90w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Plunger-Seal-Assembly-823-618.jpg 1000w"
Young Specialists,Item #Hand-Condenser,Young Specialists,Item #Hand-Condenser,Obtura II™ Delivery System Hand Condenser (each)-2.25mm,,,,Endodontics,Obtura Backfill Devices & Accessories,https://www.youngspecialties.com/product/obtura-ii-delivery-system-hand-condenser-each/,"https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Delivery-System-Hand-Condenser-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Delivery-System-Hand-Condenser-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Delivery-System-Hand-Condenser-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Delivery-System-Hand-Condenser-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Delivery-System-Hand-Condenser-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Delivery-System-Hand-Condenser-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Delivery-System-Hand-Condenser-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Delivery-System-Hand-Condenser-60x60.jpg 60w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Delivery-System-Hand-Condenser-90x90.jpg 90w, https://www.youngspecialties.com/wp-content/uploads/2020/09/Obtura-Delivery-System-Hand-Condenser.jpg 1000w"
